"","agency","year","department","expense_category","budget_code","budget_name","adopted","modified","encumbered","cash_expense","pre_encumbered","post_adjustment","accrued_expense"
"22186","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","NON OVERNIGHT TRVL EXP-GENERAL","4199","AOTPS-IC","0","0","0","0","0","0","0"
"22187","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","PRINTING CONTRACTS","4198","AOTPS","0","0","0","0","0","0","0"
"22188","Department of Youth and Community Development","2023","EXECUTIVE AND ADMINISTRATIVE MGMT PS","SALARY ADJUSTMENTS","P002","FINANCIAL PLAN SAVINGS","0","0","0","0","0","0","0"
"22189","Department of Youth and Community Development","2023","EXECUTIVE AND ADMINISTRATIVE MGMT PS","FULL YEAR POSITIONS","5500","FEDERAL ADULT EDUCATION ACT","0","0","0","0","0","0","0"
"22190","Department of Youth and Community Development","2023","EXECUTIVE AND ADMINISTRATIVE MGMT PS","PY LONGEVITY DIFFERENTIAL","3198","CITIZENSHIP N Y C","0","0","0","0","0","0","0"
"22191","Department of Youth and Community Development","2023","EXECUTIVE AND ADMINISTRATIVE MGMT PS","SUPPER MONEY","2806","CENSUS 2020","0","0","0","0","0","0","0"
"22192","Department of Youth and Community Development","2023","EXECUTIVE AND ADMINISTRATIVE MGMT PS","PAYROLL REFUND","2500","CAP VERSATILE PROGRAM","0","0","0","0","0","0","0"
"22193","Department of Youth and Community Development","2023","EXECUTIVE AND ADMINISTRATIVE MGMT PS","SHIFT DIFFERENTIAL","2006","Support Staff","0","0","0","535.83","0","0","0"
"22194","Department of Youth and Community Development","2023","EXECUTIVE AND ADMINISTRATIVE MGMT PS","SALARY ADJUSTMENTS","0500","SUP- CSBG","0","0","0","0","0","0","0"
"22195","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","TRAINING PRGM CITY EMPLOYEES","9955","LITERACY AOTPS","0","0","0","0","0","0","0"
"22196","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES-GENERAL","9921","Adult Literacy Technical Assistance","0","0","0","0","0","0","0"
"22197","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES-GENERAL","9914","ADULT LITERACY EXPANSION","0","0","0","0","0","0","0"
"22198","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","NON OVERNIGHT TRVL EXP-GENERAL","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"22199","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","MOTOR VEHICLE FUEL","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"22200","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","PRINTING CONTRACTS","9855","ADULT ED","0","0","0","0","0","0","0"
"22201","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","FIXED CHARGES - GENERAL","9805","COMMUNITY ACTION","0","0","0","0","0","0","0"
"22202","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","PROMPT PAYMENT INTEREST","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"22203","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","OFFICE EQUIPMENT MAINTENANCE","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"22204","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","PROMPT PAYMENT INTEREST","9704","COMMUNITY ACTION PROGRAM AOTPS","0","0","0","0","0","0","0"
"22205","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","OFFICE SERVICES","9704","COMMUNITY ACTION PROGRAM AOTPS","0","0","0","0","0","0","0"
"22206","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","MAINT & REP OF MOTOR VEH EQUIP","4199","AOTPS-IC","0","0","0","0","0","0","0"
"22207","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","4198","AOTPS","0","0","0","0","0","0","0"
"22208","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","NON OVERNIGHT TRVL EXP-GENERAL","3712","CSBG - SYEP","0","0","0","0","0","0","0"
"22209","Department of Youth and Community Development","2023","EXECUTIVE AND ADMINISTRATIVE MGMT PS","BACKPAY - PRIOR YEARS","7500","COMMUNITY SERVICES CONTRACT AD","0","0","0","0","0","0","0"
"22210","Department of Youth and Community Development","2023","EXECUTIVE AND ADMINISTRATIVE MGMT PS","SHIFT DIFFERENTIAL","2500","CAP VERSATILE PROGRAM","0","0","0","0","0","0","0"
"22211","Department of Youth and Community Development","2023","EXECUTIVE AND ADMINISTRATIVE MGMT PS","PY HOLIDAY PAY","2006","Support Staff","0","0","0","151.05","0","0","0"
"22212","Department of Youth and Community Development","2023","EXECUTIVE AND ADMINISTRATIVE MGMT PS","PAYROLL REFUND","1500","T L FUNDED LITERACY PROGR","0","0","0","0","0","0","0"
"22213","Department of Youth and Community Development","2023","EXECUTIVE AND ADMINISTRATIVE MGMT PS","PY SHIFT DIFFERENTIAL","1006","Executive Staff","0","0","0","28.61","0","0","0"
"22214","Department of Youth and Community Development","2023","EXECUTIVE AND ADMINISTRATIVE MGMT PS","PY OVERTIME","0500","SUP- CSBG","0","0","0","0","0","0","0"
"22215","Department of Youth and Community Development","2023","EXECUTIVE AND ADMINISTRATIVE MGMT PS","OVERTIME","0500","SUP- CSBG","0","0","0","0","0","0","0"
"22216","Department of Youth and Community Development","2023","EXECUTIVE AND ADMINISTRATIVE MGMT PS","FULL YEAR POSITIONS","0500","SUP- CSBG","0","0","0","0","0","0","0"
"22217","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","3702","WIA - Out-of-School Youth","0","0","0","0","0","0","0"
"22218","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PAY FOR SURETY BOND/INSUR PREM","3691","CEO - Young Men's Initiative - YALP","0","0","0","0","0","0","0"
"22219","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OTPS HOLDING CODE","3625","TAX LEVY ELECTED OFFICIALS","0","0","0","0","0","0","0"
"22220","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PRINTING CONTRACTS","3614","YOUTH DEV DELING PROG","0","0","0","0","0","0","0"
"22221","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","LEASING OF MISC EQUIP","3612","ADMIN OTPS","0","0","0","0","0","0","0"
"22222","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","AUTOMOTIVE SUPPLIES & MATERIAL","3612","ADMIN OTPS","0","0","0","0","0","0","0"
"22223","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","SUPPLIES + MATERIALS - GENERAL","3606","TRANSITIONAL INDPT LIVING","0","0","0","0","0","0","0"
"22224","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","TEMPORARY SERVICES","3571","LEARNING LABS AOTPS","0","0","0","0","0","0","0"
"22225","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PROMPT PAYMENT INTEREST","3551","COMPASS Explore","0","0","0","0","0","0","0"
"22226","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OTHER EXPENSES - GENERAL","3540","SONYC D79 PILOT","0","0","0","0","0","0","0"
"22227","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3195","BEACONS/PROBATION","0","0","0","0","0","0","0"
"22228","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OTHER EXPENSES - GENERAL","3185","TAX LEVY/INITIATIVES","0","0","0","0","0","0","0"
"22229","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","3160","Intergrated County Plan","0","0","0","0","0","0","0"
"22230","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","MAINT & REP MOTOR VEH EQUIP","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"22231","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","LEASING OF MISC EQUIP","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"22232","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","EQUIPMENT GENERAL","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"22233","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","HOLIDAY PAY","S008","ARRA - ADMIN","0","0","0","0","0","0","0"
"22234","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","PY OVERTIME","5201","Community Development Operations","0","0","0","0","0","0","0"
"22235","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","OVERTIME","5006","Summer Youth Employment","0","0","0","323.37","0","0","0"
"22236","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","OVERTIME","5004","ADULT LITERACY","0","0","0","0","0","0","0"
"22237","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","PY SHIFT DIFFERENTIAL","4206","Vulnerable Youth/RHY","0","0","0","2.11","0","0","0"
"22238","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","UNSALARIED","4206","Vulnerable Youth/RHY","0","0","0","77414.86","0","0","0"
"22239","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","PY SHIFT DIFFERENTIAL","4006","COMPASS","0","0","0","10.49","0","0","0"
"22240","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","BONUS PAYMENTS","4003","Discretionary","0","0","0","0","0","0","0"
"22241","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","UNSALARIED","3755","SYEP Seasonals","0","0","0","0","0","0","0"
"22242","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","BACKPAY - PRIOR YEARS","3697","CEO  -  Youth Internships","0","0","0","0","0","0","0"
"22243","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","HOLIDAY PAY","3560","CACFP - FOOD GRANT","0","0","0","0","0","0","0"
"22244","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","PY OVERTIME","3558","Cornerstone - NYCHA","0","0","0","1646.88","0","0","0"
"22245","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","EARLY RET.TERMINAL LEAVE......","3155","ADMINISTRATION","0","0","0","0","0","0","0"
"22246","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","REGULAR GROSS HOLDING CODE","3155","ADMINISTRATION","0","0","0","0","0","0","0"
"22247","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","SHIFT DIFFERENTIAL","3006","Program Operations","0","0","0","6.81","0","0","0"
"22248","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","PY OVERTIME","3000","YOUTHLINE","0","0","0","0","0","0","0"
"22249","Department of Youth and Community Development","2023","YOUTH WORKFORCE AND CAREER TRAINING OTPS","PROF SERV OTHER","CR21","WLG-CCC","0","0","0","0","0","0","0"
"22250","Department of Youth and Community Development","2023","YOUTH WORKFORCE AND CAREER TRAINING OTPS","PROF SERV CURRIC & PROF DEVEL","1024","NYC Unity Works","0","0","0","0","0","0","0"
"22251","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3570","LEARNING LABS","0","0","0","0","0","0","0"
"22252","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","SUPPLIES + MATERIALS - GENERAL","3561","CACFP -  PY SURPLUS REVENUE","0","0","0","0","0","0","0"
"22253","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","TRANSPORTATION EXPENDITURES","3542","OST MSE AOTPS","0","0","0","0","0","0","0"
"22254","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","ADVERTISING","3542","OST MSE AOTPS","0","0","0","0","0","0","0"
"22255","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3190","BEACONS/ACS","0","0","0","0","0","0","0"
"22256","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PROF SERV COMPUTER SERVICES","3160","Intergrated County Plan","0","0","0","0","0","0","0"
"22257","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PURCH DATA PROCESSING EQUIPT","3160","Intergrated County Plan","0","0","0","0","0","0","0"
"22258","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","EQUIPMENT GENERAL","3150","YOUTHLINE","0","0","0","0","0","0","0"
"22259","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PROMPT PAYMENT INTEREST","3125","TAX LEVY ELECT OFF DISCRET","0","0","0","0","0","0","0"
"22260","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES GENERAL","3114","YDDP","0","0","0","0","0","0","0"
"22261","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PROF SERV ACCTING & AUDITING","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"22262","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","MAINT & OPER OF INFRASTRUCTURE","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"22263","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3101","YOUTH SERVICES","0","0","0","0","0","0","0"
"22264","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","2000","YEAR 2000 PROJECT","0","0","0","0","0","0","0"
"22265","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","S008","ARRA - ADMIN","0","0","0","0","0","0","0"
"22266","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","PY LONGEVITY DIFFERENTIAL","5006","Summer Youth Employment","0","0","0","0","0","0","0"
"22267","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","TERMINAL LEAVE","5005","Deputy Commissioner Community Developmen","0","0","0","0","0","0","0"
"22268","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","SHIFT DIFFERENTIAL","4450","COMPASS/SONYC Support","0","0","0","0","0","0","0"
"22269","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","PY SHIFT DIFFERENTIAL","4306","Deputy Commissioner Youth Services","0","0","0","4.11","0","0","0"
"22270","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","BONUS PAYMENTS","4206","Vulnerable Youth/RHY","0","0","0","0","0","0","0"
"22271","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","FULL YEAR POSITIONS","3728","ADVANCE AND EARN-OEO","0","0","0","0","0","0","0"
"22272","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","UNSALARIED","3721","Year-Round Employment Program","0","0","0","0","0","0","0"
"22273","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","UNSALARIED","3698","CEO -  Service  Learning Initiatives","0","0","0","0","0","0","0"
"22274","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","PY OVERTIME","3547","SONYC","0","0","0","507.39","0","0","0"
"22275","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","PY LONGEVITY DIFFERENTIAL","3155","ADMINISTRATION","0","0","0","0","0","0","0"
"22276","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","LONGEVITY DIFFERENTIAL","2002","WIA-EEO","0","0","0","12543.89","0","0","0"
"22277","Department of Youth and Community Development","2023","YOUTH WORKFORCE AND CAREER TRAINING OTPS","JTPA-FRINGES","CR26","Advance and Earn YMI ARP","0","0","0","0","0","0","0"
"22278","Department of Youth and Community Development","2023","YOUTH WORKFORCE AND CAREER TRAINING OTPS","PAYMENTS TO DELEGATE AGENCIES","CR21","WLG-CCC","0","0","0","0","0","0","0"
"22279","Department of Youth and Community Development","2023","YOUTH WORKFORCE AND CAREER TRAINING OTPS","JTPA-FRINGES","1032","SYEP - Cure Violence","0","0","0","0","0","0","0"
"22280","Department of Youth and Community Development","2023","YOUTH WORKFORCE AND CAREER TRAINING OTPS","JTPA-FRINGES","1029","ADVANCE AND EARN PLUS-ACS","0","0","0","0","0","0","0"
"22281","Department of Youth and Community Development","2023","YOUTH WORKFORCE AND CAREER TRAINING OTPS","COMMUNITY CONSULTANT CONTRACTS","1024","NYC Unity Works","0","0","0","0","0","0","0"
