"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"4829","Department of Youth and Community Development","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2020","2020","14594951","15349951","1261346.2","Collected Revenue"
"4830","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","1153058.9","Collected Revenue"
"4831","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","1153058.9","Billed Revenue"
"4832","Department of Youth and Community Development","CHARGES FOR SERVICES","SOCIAL SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2020","2020","624260","1718134","1074740.46","Collected Revenue"
"4833","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","1047861.51","Collected Revenue"
"4834","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","1047861.51","Billed Revenue"
"4835","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2021","30476101","35497855","954144","Billed Revenue"
"4836","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","5513702","5513702","937064.36","Collected Revenue"
"4837","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","5513702","5513702","937064.36","Billed Revenue"
"4838","Department of Youth and Community Development","State Grants and Contracts-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2020","2021","571614","1205446","855138","Collected Revenue"
"4839","Department of Youth and Community Development","State Grants and Contracts-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2020","2020","571614","1205446","855138","Billed Revenue"
"4840","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2020","30476101","34402929","815001","Collected Revenue"
"4841","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2020","30476101","34402929","815001","Billed Revenue"
"4842","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","809616.06","Collected Revenue"
"4843","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","809616.06","Billed Revenue"
"4844","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2020","2020","0","0","773157","Collected Unearned Revenue Roll"
"4845","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2021","30476101","35497855","772086.46","Collected Revenue"
"4846","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","757113.1","Collected Revenue"
"4847","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","757113.1","Billed Revenue"
"4848","Department of Youth and Community Development","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2020","2020","14594951","15349951","750000","Collected Revenue"
"4849","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","739678.82","Collected Revenue"
"4850","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","739678.82","Billed Revenue"
"4851","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2020","2021","2450534","2450534","727743.42","Collected Revenue"
"4852","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2020","2020","2450534","2450534","727743.42","Billed Revenue"
"4853","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2021","30476101","35497855","720563.21","Collected Revenue"
"4854","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2021","16541104","16541104","688050.5","Collected Revenue"
"4855","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","688050.5","Billed Revenue"
"4856","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2021","16541104","16541104","666621.65","Collected Revenue"
"4857","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","654377.57","Billed Revenue"
"4858","Department of Youth and Community Development","CHARGES FOR SERVICES","SOCIAL SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2020","2020","624260","1718134","643393.09","Collected Revenue"
"4859","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","634205.32","Collected Revenue"
"4860","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","634205.32","Billed Revenue"
"4861","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","620593.86","Collected Revenue"
"4862","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","620593.86","Billed Revenue"
"4863","Department of Youth and Community Development","State Grants and Contracts-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2020","2021","3930745","4968488","590040","Collected Revenue"
"4864","Department of Youth and Community Development","State Grants and Contracts-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2020","2020","3930745","4968488","590040","Billed Revenue"
"4865","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","545064.36","Collected Revenue"
"4866","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","545064.36","Billed Revenue"
"4867","Department of Youth and Community Development","State Grants and Contracts-Categorical","RUNAWAY & HOMELESS YOUTH","General Fund","STATE","YOUTH","2020","2021","772765","840683","492547","Collected Revenue"
"4868","Department of Youth and Community Development","State Grants and Contracts-Categorical","RUNAWAY & HOMELESS YOUTH","General Fund","STATE","YOUTH","2020","2020","772765","840683","492547","Billed Revenue"
"4869","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","5513702","5513702","463696.95","Collected Revenue"
"4870","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","5513702","5513702","463696.95","Billed Revenue"
"4871","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","5513702","5513702","462934.26","Collected Revenue"
"4872","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","5513702","5513702","462934.26","Billed Revenue"
"4873","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2021","5513702","5513702","435853.37","Collected Revenue"
"4874","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","5513702","5513702","435853.37","Billed Revenue"
"4875","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","5513702","5513702","428025.88","Collected Revenue"
"4876","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","5513702","5513702","428025.88","Billed Revenue"
"4877","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","410738.75","Collected Revenue"
"4878","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","410738.75","Billed Revenue"
"4879","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2020","2020","0","0","404819.01","Collected Unearned Revenue Roll"
"4880","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2020","2020","0","4039600","404819.01","Collected Unearned Revenue Roll"
"4881","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","5513702","5513702","401738.33","Collected Revenue"
"4882","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","5513702","5513702","401738.33","Billed Revenue"
"4883","Department of Youth and Community Development","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2020","2020","14594951","15349951","386816","Collected Revenue"
"4884","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","5513702","5513702","377201.84","Collected Revenue"
"4885","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","5513702","5513702","377201.84","Billed Revenue"
"4886","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2020","2020","0","3910000","374730.01","Collected Revenue"
"4887","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2020","2020","0","4039600","374730.01","Collected Unearned Revenue Roll"
